id,status,input,expected_result,notes
E01,Not Run,"a + b * c;","a + (b * c) valid",
E02,Not Run,"a * b + c;","(a * b) + c valid",
E03,Not Run,"a * b / c;","(a * b) / c valid",
E04,Not Run,"a + b - c;","(a + b) - c valid",
E05,Not Run,"-a * b;","(-a) * b valid",
E06,Not Run,"a + -b;","a + (-b) valid",
E07,Not Run,"a < b == c;","(a < b) == c valid",
E08,Not Run,"a == b < c;","a == (b < c) valid",
E09,Not Run,"a <= b + c;","a <= (b + c) valid",
E10,Not Run,"a + b >= c * d;","(a + b) >= (c * d) valid",
E11,Not Run,"a = b;","a = b valid",
E12,Not Run,"a = b = c;","a = (b = c) valid",
E13,Not Run,"a += b * 2;","a += (b * 2) valid",
E14,Not Run,"a *= b + c;","a *= (b + c) valid",
E15,Not Run,"a = b + c * d;","a = (b + (c * d)) valid",
E16,Not Run,"a + b = c;","invalid (lhs not assignable)",
E17,Not Run,"a < b < c;","invalid in v0",
E18,Not Run,"a == b == c;","invalid in v0",
E19,Not Run,"eq(a, b);","invalid as function unless defined",
E20,Not Run,"a eq b;","a == b valid if eq alias enabled",
E21,Not Run,"a => b;","invalid token (use >=)",
E22,Not Run,"a /= b + c / d;","a /= (b + (c / d)) valid",
E23,Not Run,"a = -b * -c;","a = ((-b) * (-c)) valid",
E24,Not Run,"a = (b + c) * d;","a = ((b + c) * d) valid",
